,iso_code,country,year,GDLcode,continent2,level,region,continent,CountryName_std,shdi,healthindex,incindex,edindex,esch,msch,lifexp,gnic,lgnic,pop,POLY_IDcountry,iso3,status,CountryName,SubContinent,Continent,Continent_std,surfaceTemperature,soilMoisture10cm,soilMoisture40cm
0,KHM,Cambodia,1990,KHMr107,Asia,Subnat,Kaoh Kong,Asia/Pacific,Cambodia,0.35699999,0.56599998,0.35499999,0.227,5.2810001,2.408,56.814999,1050.379,6.9569998,91.102,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.360801262807207,0.36165822411395054
1,KHM,Cambodia,1990,KHMr109,Asia,Subnat,Prey Veaeng,Asia/Pacific,Cambodia,0.34799999,0.47799999,0.33500001,0.26300001,6.684,2.313,51.041,918.01202,6.822,742.461,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.303180144241093,0.31059766501466896
2,KHM,Cambodia,1990,KHMr110,Asia,Subnat,Pousat,Asia/Pacific,Cambodia,0.32699999,0.454,0.329,0.235,5.7410002,2.266,49.530998,880.70099,6.7810001,270.524,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.34637856719447363,0.349354309710278
3,KHM,Cambodia,1990,KHMr111,Asia,Subnat,Svay Rieng,Asia/Pacific,Cambodia,0.36000001,0.50599998,0.33399999,0.27700001,6.8000002,2.645,52.859001,914.32397,6.8179998,394.837,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3075468327442921,0.3114495218738796
4,KHM,Cambodia,1990,KHMr112,Asia,Subnat,Takaev,Asia/Pacific,Cambodia,0.375,0.52200001,0.32800001,0.308,7.5939999,2.9130001,53.937,877.43402,6.777,642.383,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.299685515409739,0.2981471270141339
5,KHM,Cambodia,1990,KHMr104,Asia,Subnat,Kampong Spueu,Asia/Pacific,Cambodia,0.347,0.56900001,0.30899999,0.237,6.1139998,2.0209999,56.966,772.34302,6.6490002,481.272,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.32939700133637195,0.3308203557733709
6,KHM,Cambodia,1990,KHMr101,Asia,Subnat,Banteay Mean Chey,Asia/Pacific,Cambodia,0.35299999,0.53799999,0.32699999,0.25099999,6.3720002,2.211,54.984001,869.32098,6.7680001,417.096,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3037441699781515,0.3093736680608856
7,KHM,Cambodia,1990,KHMr115,Asia,Subnat,Preah Vihear-Stueng Traeng-Kracheh,Asia/Pacific,Cambodia,0.34599999,0.51999998,0.32600001,0.243,5.7930002,2.471,53.806999,867.43903,6.7659998,356.511,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.337528032576883,0.34567988360918717
8,KHM,Cambodia,1990,KHMr113,Asia,Subnat,Bat Dambang-Krong Pailin,Asia/Pacific,Cambodia,0.37599999,0.50999999,0.35699999,0.292,6.842,3.0710001,53.134998,1059.525,6.9660001,628.023,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3363554448357958,0.3427113663879107
9,KHM,Cambodia,1990,KHMr117,Asia,Subnat,Siem Reab-Otdar Mean Chey,Asia/Pacific,Cambodia,0.32699999,0.51300001,0.32499999,0.20900001,5.2670002,1.887,53.320999,861.54999,6.7589998,611.238,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3269558266129876,0.33770597371210603
10,KHM,Cambodia,1990,KHMr108,Asia,Subnat,Phnom Penh,Asia/Pacific,Cambodia,0.52600002,0.64600003,0.53399998,0.421,9.007,5.1240001,62.0,3419.585,8.1370001,780.877,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.31161412499189867,0.31082409336888717
11,KHM,Cambodia,1990,KHMr105,Asia,Subnat,Kampong Thum,Asia/Pacific,Cambodia,0.34900001,0.55299997,0.315,0.245,6.1240001,2.2420001,55.926998,804.31598,6.6900001,466.193,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.32597023614983417,0.3242413521527786
12,KHM,Cambodia,1990,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.36700001,0.51300001,0.33199999,0.29100001,7.132,2.7950001,53.34,899.71997,6.802,594.723,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3302818626270257,0.33732185001427617
13,KHM,Cambodia,1990,KHMr114,Asia,Subnat,Kampot-Krong Kaeb-Krong Preah Sihanouk,Asia/Pacific,Cambodia,0.36700001,0.51300001,0.33199999,0.29100001,7.132,2.7950001,53.34,899.71997,6.802,594.723,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.32394968091242665,0.3293661529394436
14,KHM,Cambodia,1990,KHMr103,Asia,Subnat,Kampong Chhnang,Asia/Pacific,Cambodia,0.333,0.46799999,0.333,0.237,5.908,2.1789999,50.395,908.39801,6.8119998,346.368,135.0,KHM,Member State,Cambodia,South-Eastern Asia,Asia,Asia,,0.3158757403373855,0.31552587657765685
